video,school,stimulus,size,part,responder,bearing_angle_ms,latency_ms,distance_from_first_responder,distance_from_stimulus,angle_between_fish_and_stimulus,ratio_time_bearing_angle,angle_between_fish_and_stimulus_abs,angle_between_fish_stimulus_radiants,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_radiants,turning_angle_absolute_value
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,s5,58.33333333,87.5,30.32709844,23.77773118,115.9600004,0.534105738,115.9600004,2.023883808,-13.61228666,95.60453906,109.2168257,1.906193207,109.2168257
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w2,108.3333333,95.8,27.6707228,29.25311095,61.23431709,0.924113936,61.23431709,1.068740448,-68.74949449,48.4799175,117.229412,2.04603922,117.229412
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w3,75,133.3,14.26988437,39.97703341,116.7046265,0.267047365,116.7046265,2.036879985,-133.9430022,146.906052,280.8490542,4.901740698,280.8490542
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w4,133.3333333,141.7,13.56808756,38.40049218,28.91542434,1.265302589,28.91542434,0.504669359,-93.22754677,12.14909161,105.3766384,1.839169294,105.3766384
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w5,329.1666667,137.5,35.84992748,51.29132578,25.55060006,2.5166197,25.55060006,0.445942097,-110.4530417,20.34410126,130.7971429,2.282840796,130.7971429
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w6,450,141.7,29.27453672,47.28416754,42.00295742,2.190636805,42.00295742,0.733089903,-129.2894069,76.13031356,205.4197204,3.58525047,205.4197204
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w7,166.6666667,158.3,34.35345689,57.88615724,60.19905631,2.022724311,60.19905631,1.050671739,-50.48218431,31.91494006,82.39712437,1.438101114,82.39712437
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w8,154.1666667,204.2,26.89417781,53.08966001,92.37431863,0.615122656,92.37431863,1.612236004,-135.1968919,115.4306295,250.6275215,4.374275446,250.6275215
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w9,225,200,41.81815993,55.80405451,73.94001269,1.564257139,73.94001269,1.29049667,-77.29726808,66.54097592,143.838244,2.510450948,143.838244
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w10,220.8333333,320.8,34.30659412,56.23323572,101.8169615,1.743236172,101.8169615,1.777041213,-35.9639405,90.71615995,126.6801004,2.210984849,126.6801004
cy_l_trial2_sch2_stim1_2023-08-10-10-50,2,1,large,Y,s1,192,0,10.76022769,31.15468665,19.14812001,1.216290906,130.3456318,2.27496044,18.81438552,-138.7685297,-157.5829152,-2.750340716,157.5829152
cy_l_trial2_sch2_stim1_2023-08-10-10-50,2,1,large,Y,s2,113,95.8,10.76022769,39.15973953,11.79465981,0.403377875,129.3787569,2.258085291,123.9117135,-154.9831065,-278.8948201,-4.867632877,278.8948201
cy_l_trial2_sch2_stim1_2023-08-10-10-50,2,1,large,Y,s3,363,100,10.76022769,26.72197785,17.27747956,2.920383167,124.2244932,2.168126418,-4.277937555,-128.405485,-124.1275474,-2.166434395,124.1275474
cy_l_trial2_sch2_stim1_2023-08-10-10-50,2,1,large,Y,s4,442,270.8,10.76022769,31.59216359,14.52085397,1.80286296,145.325723,2.536412355,95.55994726,-149.4207731,-244.9807204,-4.275720175,244.9807204
